20220818T113345 32354.542 32354.227 -0.007875000000058207 14 0.010000 40dB 127 100ms 1660811918.72 41918.72 32354.385 0.07836 1.17361 -1
20220818T114320 32354.229 32354.542 0.007825000000048021 14 0.010000 40dB 127 100ms 1660812498.85 42498.85 32354.387 0.077802 1.17423 -1
20220818T115256 32354.543 32354.232 -0.007775000000037835 14 0.010000 40dB 127 100ms 1660813071.12 43071.12 32354.387 0.078449 1.16814 -1
20220818T120231 32354.230 32354.544 0.007850000000053115 14 0.010000 40dB 127 100ms 1660813647.75 43647.75 32354.388 0.077795 1.17406 -1
20220818T121207 32354.543 32354.232 -0.007775000000037835 14 0.010000 40dB 127 100ms 1660814226.79 44226.79 32354.385 0.079443 1.17619 -1
20220818T122142 32354.226 32354.544 0.007950000000073487 14 0.010000 40dB 127 100ms 1660814792.56 44792.56 32354.382 0.077867 1.17918 -1
20220818T123117 32354.538 32354.227 -0.007775000000037835 14 0.010000 40dB 127 100ms 1660815372.40 45372.40 32354.383 0.076739 1.17479 -1
20220818T124053 32354.229 32354.536 0.007675000000017462 14 0.010000 40dB 127 100ms 1660815950.57 45950.57 32354.384 0.077464 1.17874 -1
20220818T125028 32354.539 32354.229 -0.007750000000032742 14 0.010000 40dB 127 100ms 1660816529.76 46529.76 32354.380 0.078034 1.17513 -1
20220818T130004 32354.224 32354.537 0.007825000000048021 14 0.010000 40dB 127 100ms 1660817099.67 47099.67 32354.381 0.079103 1.17562 -1
20220818T145055 32354.224 32354.537 0.007825000000048021 10 0.01 40dB 127 100ms 1660823661.79 53661.79 32354.377 0.076411 1.2023 -1
20220818T145859 32354.530 32354.224 -0.007650000000012369 14 0.010000 40dB 127 100ms 1660824237.50 54237.50 32354.375 0.076516 1.20553 -1
20220818T150834 32354.222 32354.528 0.007649999999921419 14 0.010000 40dB 127 100ms 1660824809.57 54809.57 32354.375 0.076093 1.20673 -1
20220818T151810 32354.527 32354.223 -0.007599999999911233 14 0.010000 40dB 127 100ms 1660825382.04 55382.04 32354.377 0.075297 1.20452 -1
20220818T152745 32354.226 32354.527 0.007524999999986903 15 0.010000 40dB 127 100ms 1660825985.16 55985.16 32354.378 0.076847 1.19537 -1
20220818T153802 32354.532 32354.225 -0.007675000000017462 14 0.010000 40dB 127 100ms 1660826580.56 56580.56 32354.376 0.07702 1.1908 -1
20220818T154737 32354.222 32354.531 0.007724999999936699 14 0.010000 40dB 127 100ms 1660827149.94 57149.94 32354.375 0.077322 1.19042 -1
20220818T155712 32354.530 32354.221 -0.007724999999936699 14 0.010000 40dB 127 100ms 1660827726.62 57726.62 32354.376 0.077816 1.18712 -1
20220818T160648 32354.220 32354.532 0.007799999999951979 14 0.010000 40dB 127 100ms 1660828301.20 58301.20 32354.375 0.07702 1.19029 -1
20220818T161623 32354.529 32354.221 -0.007699999999931606 14 0.010000 40dB 127 100ms 1660828872.25 58872.25 32354.378 0.076608 1.18949 -1
20220818T162559 32354.225 32354.532 0.007675000000017462 14 0.010000 40dB 127 100ms 1660829457.98 59457.98 32354.381 0.077591 1.18596 -1
20220818T163534 32354.536 32354.226 -0.007750000000032742 14 0.010000 40dB 127 100ms 1660830029.32 60029.32 32354.381 0.076344 1.1928 -1
20220818T164509 32354.228 32354.534 0.007650000000012369 14 0.010000 40dB 127 100ms 1660830605.67 60605.67 32354.382 0.076557 1.18692 -1
20220818T165445 32354.535 32354.228 -0.007675000000017462 14 0.010000 40dB 127 100ms 1660831181.86 61181.86 32354.380 0.077345 1.19144 -1
20220818T170420 32354.226 32354.535 0.007725000000027649 14 0.010000 40dB 127 100ms 1660831757.06 61757.06 32354.381 0.07773 1.18632 -1
20220818T171356 32354.537 32354.226 -0.007775000000037835 14 0.010000 40dB 127 100ms 1660832328.68 62328.68 32354.383 0.076376 1.18901 -1
20220818T172331 32354.230 32354.535 0.007625000000007276 14 0.010000 40dB 127 100ms 1660832907.63 62907.63 32354.383 0.075964 1.19085 -1
20220818T173306 32354.535 32354.231 -0.007600000000002183 14 0.010000 40dB 127 100ms 1660833484.41 63484.41 32354.381 0.076407 1.18633 -1
20220818T174242 32354.229 32354.534 0.007625000000007276 14 0.010000 40dB 127 100ms 1660834059.31 64059.31 32354.383 0.076714 1.19103 -1
20220818T175217 32354.536 32354.229 -0.007675000000017462 14 0.010000 40dB 127 100ms 1660834633.18 64633.18 32354.382 0.077892 1.1812 -1
